id_produit,id_categorie,nom_produit,prix_unitaire,code_barres
1,1,Samsung Galaxy A23,85000,123456789012
2,1,Tecno Spark 10,65000,234567890123
3,2,Climatiseur 12000 BTU,450000,345678901234
4,2,Réfrigérateur 300L,325000,456789012345
5,3,Riz 5kg,3500,567890123456
6,3,Huile végétale 5L,6000,678901234567
7,4,Lait hydratant Nivea,7500,789012345678
8,5,Jeans homme,12500,890123456789
9,6,Cahier 200 pages,1500,901234567890
10,7,Ciment 50kg,55000,012345678901
11,1,iPhone 13,650000,112345678901
12,3,Sucre 1kg,1200,212345678901
